time_s,robot_id,robot_name,key,protocol,pwm_left,pwm_right,sonic_angle_deg,sonic_distance_cm,reason
1.6,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,11,306,cached_adaptive_split
1.6,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,8,375,cached_adaptive_split
1.6,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-9,331,cached_adaptive_split
1.6,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-10,287,cached_adaptive_split
1.6,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,382,cached_adaptive_split
1.8,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,319,adaptive_split_to_bypass_target
1.8,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,343,adaptive_split_to_bypass_target
1.8,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,299,adaptive_split_to_bypass_target
1.8,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,369,adaptive_split_to_bypass_target
1.8,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-9,324,adaptive_split_to_bypass_target
1.8,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-10,280,adaptive_split_to_bypass_target
1.8,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,376,adaptive_split_to_bypass_target
2.0,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,313,cached_adaptive_split
2.0,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,337,cached_adaptive_split
2.0,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,293,cached_adaptive_split
2.0,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,363,cached_adaptive_split
2.0,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-9,318,cached_adaptive_split
2.0,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,274,cached_adaptive_split
2.0,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,369,cached_adaptive_split
2.2,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,307,cached_adaptive_split
2.2,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,10,331,cached_adaptive_split
2.2,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,287,cached_adaptive_split
2.2,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,357,cached_adaptive_split
2.2,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-9,312,cached_adaptive_split
2.2,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,268,cached_adaptive_split
2.2,r07,r07,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,363,cached_adaptive_split
2.4,r01,r01,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,14,301,cached_adaptive_split
2.4,r02,r02,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,10,325,cached_adaptive_split
2.4,r03,r03,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,12,281,cached_adaptive_split
2.4,r04,r04,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,9,351,cached_adaptive_split
2.4,r05,r05,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-9,306,cached_adaptive_split
2.4,r06,r06,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,-11,262,cached_adaptive_split
