mission_id,mission_name,step,time_s,ts_ms,algorithm,completion_policy,robot_id,robot_name,powered,cluster_id,role,perception_mode,visible_obstacle_count,known_obstacle_count,primary_x_m,primary_y_m,primary_theta_rad,primary_v_mps,primary_omega_radps,primary_pwr_left,primary_pwr_right,primary_sonic_angle_deg,primary_sonic_distance_cm,primary_camera_pan_deg,primary_camera_tilt_deg,primary_tracking_bits,primary_led,primary_buz,control_cmd_vx_mps,control_cmd_vy_mps,control_cmd_v_mps,control_cmd_omega_radps,control_target_x_m,control_target_y_m,control_reason,tank_key_command,tank_protocol_command,tank_pwm_left,tank_pwm_right,tank_command_note,agent_path_length_m,agent_energy_proxy,agent_collision_events,agent_near_miss_events,agent_lane_violations,agent_min_obstacle_clearance_m,agent_min_robot_clearance_m,agent_goal_distance_m,group_centroid_x_m,group_centroid_y_m,group_centroid_to_goal_m,group_centroid_path_m,group_effective_centroid_length_m,group_formation_rms_m,group_formation_bad_pairs,group_min_clearance_m,group_collision_steps,group_lane_violations,group_total_energy_proxy,group_sum_agent_path_m,group_mean_instant_speed_mps,group_average_speed_mps,group_active_cluster_count,done,finish_reason
9bdb46e181,physical_tank_box_404cm_local_sonar,0,0.0,1784462000,smooth_adaptive_clusters,finish_first,r01,tank01,True,main,member,local,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,175,0,0,0000,---,False,0.0,0.0,0.0,0.0,4.04,0.0,init,e,"$0,0,0,0,0,0,0,0,0#",0,0,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0,0.0,0,0,0,999.0,999.0,4.04,0.0,0.0,4.04,0.0,0.0,0.0,0,999.0,0,0,0.0,0.0,0.0,0.0,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,1,0.2,1784462200,smooth_adaptive_clusters,finish_first,r01,tank01,True,main,member,local,1,1,0.0224,0.0,0.0,0.112,0.0,2384,2384,0,172,0,0,0000,---,False,0.77039,0.0,0.112,0.0,0.16441,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",4000,4000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0224,0.03849,0,0,0,1.72458,999.0,4.0176,0.0224,0.0,4.0176,0.0224,0.0224,0.0,0,1.7246,0,0,0.03849,0.0224,0.112,0.112,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,2,0.4,1784462400,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.0672,0.0,0.0,0.224,0.0,4768,4768,0,168,0,0,0000,---,False,0.77039,0.0,0.224,0.0,0.32882,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",5000,5000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.0672,0.10517,0,0,0,1.67978,999.0,3.9728,0.0672,0.0,3.9728,0.0672,0.0672,0.0,0,1.6798,0,0,0.10517,0.0672,0.224,0.168,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,3,0.6,1784462600,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.1344,0.0,0.0,0.336,0.0,7153,7153,0,161,0,0,0000,---,False,0.77039,0.0,0.336,0.0,0.49324,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",7000,7000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.1344,0.20006,0,0,0,1.61258,999.0,3.9056,0.1344,0.0,3.9056,0.1344,0.1344,0.0,0,1.6126,0,0,0.20006,0.1344,0.336,0.224,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,4,0.8,1784462800,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.224,0.0,0.0,0.448,0.0,9537,9537,0,152,0,0,0000,---,False,0.77039,0.0,0.448,0.0,0.65765,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",10000,10000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.224,0.32313,0,0,0,1.52298,999.0,3.816,0.224,0.0,3.816,0.224,0.224,0.0,0,1.523,0,0,0.32313,0.224,0.448,0.28,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,5,1.0,1784463000,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.336,0.0,0.0,0.56,0.0,11921,11921,0,141,0,0,0000,---,False,0.77039,0.0,0.56,0.0,0.82206,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",12000,12000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.336,0.47439,0,0,0,1.41098,999.0,3.704,0.336,0.0,3.704,0.336,0.336,0.0,0,1.411,0,0,0.47439,0.336,0.56,0.336,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,6,1.2,1784463200,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.4704,0.0,0.0,0.672,0.0,14305,14305,0,128,0,0,0000,---,False,0.77039,0.0,0.672,0.0,0.98647,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",14000,14000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.4704,0.65383,0,0,0,1.27658,999.0,3.5696,0.4704,0.0,3.5696,0.4704,0.4704,0.0,0,1.2766,0,0,0.65383,0.4704,0.672,0.392,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,7,1.4,1784463400,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.62448,0.0,0.0,0.77039,0.0,16400,16400,0,112,0,0,0000,---,False,0.77039,0.0,0.77039,0.0,1.15089,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.62448,0.8568,0,0,0,1.1225,999.0,3.41552,0.62448,0.0,3.4155,0.6245,0.6245,0.0,0,1.1225,0,0,0.8568,0.62448,0.7704,0.4461,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,8,1.6,1784463600,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.77856,0.0,0.0,0.77039,0.0,16400,16400,0,97,0,0,0000,---,False,0.77039,0.0,0.77039,0.0,1.3153,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.77856,1.05072,0,0,0,0.96842,999.0,3.26144,0.77856,0.0,3.2614,0.7786,0.7786,0.0,0,0.9684,0,0,1.05072,0.77856,0.7704,0.4866,1,False,running
9bdb46e181,physical_tank_box_404cm_local_sonar,9,1.8,1784463800,smooth_adaptive_clusters,finish_first,r01,tank01,True,blocked,blocked,local,1,1,0.93263,0.0,0.0,0.77039,0.0,16400,16400,0,81,0,0,0000,---,False,0.77039,0.0,0.77039,0.0,1.47971,0.0,fallback_staging_point,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,0.93263,1.24463,0,0,0,0.81434,999.0,3.10737,0.93263,0.0,3.1074,0.9326,0.9326,0.0,0,0.8143,0,0,1.24463,0.93263,0.7704,0.5181,1,False,running
