mission_id,mission_name,step,time_s,ts_ms,algorithm,completion_policy,robot_id,robot_name,powered,cluster_id,role,perception_mode,visible_obstacle_count,known_obstacle_count,primary_x_m,primary_y_m,primary_theta_rad,primary_v_mps,primary_omega_radps,primary_pwr_left,primary_pwr_right,primary_sonic_angle_deg,primary_sonic_distance_cm,primary_camera_pan_deg,primary_camera_tilt_deg,primary_tracking_bits,primary_led,primary_buz,control_cmd_vx_mps,control_cmd_vy_mps,control_cmd_v_mps,control_cmd_omega_radps,control_target_x_m,control_target_y_m,control_reason,tank_key_command,tank_protocol_command,tank_pwm_left,tank_pwm_right,tank_command_note,agent_path_length_m,agent_energy_proxy,agent_collision_events,agent_near_miss_events,agent_lane_violations,agent_min_obstacle_clearance_m,agent_min_robot_clearance_m,agent_goal_distance_m,group_centroid_x_m,group_centroid_y_m,group_centroid_to_goal_m,group_centroid_path_m,group_effective_centroid_length_m,group_formation_rms_m,group_formation_bad_pairs,group_min_clearance_m,group_collision_steps,group_lane_violations,group_total_energy_proxy,group_sum_agent_path_m,group_mean_instant_speed_mps,group_average_speed_mps,group_active_cluster_count,done,finish_reason
b326998ea4,formation_6_dynamic_popup,28,5.6,1784467600,completion_astar,finish_first,r05,r05,True,center,member,local,1,1,1.444,0.31177,0.0,0.3116,0.0,820,820,-18,203,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,1.90596,0.31177,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.624,4.33101,0,0,0,2.03199,0.11792,10.376,1.6228,0.05357,10.3773,1.6237,1.6228,0.10483,8,0.0533,0,0,26.1871,9.75135,0.3116,0.2898,2,False,running
b326998ea4,formation_6_dynamic_popup,28,5.6,1784467600,completion_astar,finish_first,r06,r06,True,center,member,local,1,1,1.12804,0.00617,0.00411,0.3116,-0.00073,820,820,-10,229,0,0,0100,---,False,0.3116,0.00124,0.3116,-0.00073,1.59662,0.00804,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.48805,4.10603,0,0,0,2.2948,0.11631,10.51197,1.6228,0.05357,10.3773,1.6237,1.6228,0.10483,8,0.0533,0,0,26.1871,9.75135,0.3116,0.2898,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r01,r01,True,lower,member,local,1,1,1.49955,-0.16125,0.09064,0.3116,-0.0,820,820,-12,191,0,0,0000,---,False,0.31032,0.02821,0.3116,-0.0,1.95962,-0.11944,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.68631,4.50138,0,0,0,1.9148,0.11631,10.32155,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r02,r02,True,lower,member,local,1,1,1.87666,-0.14367,0.09933,0.3116,0.0,820,820,-15,154,0,0,0001,---,False,0.31006,0.0309,0.3116,0.0,2.33641,-0.09785,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.705,4.58647,0,1,0,1.53828,0.05334,10.30471,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r03,r03,True,center,member,local,1,1,2.10862,0.00878,0.005,0.3116,0.0003,820,820,-15,132,0,0,0100,---,False,0.3116,0.00157,0.3116,0.0003,2.56996,0.01111,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.74864,4.6617,0,1,0,1.32067,0.05334,10.25139,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r04,r04,True,center,member,local,1,1,1.92864,0.31177,0.0,0.3116,0.0,820,820,-22,157,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,2.38998,0.31177,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.74864,4.6615,0,0,0,1.56537,0.13038,10.25136,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r05,r05,True,center,member,local,1,1,1.50632,0.31177,0.0,0.3116,0.0,820,820,-18,197,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,1.96829,0.31177,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.68632,4.49625,0,0,0,1.97152,0.11792,10.31368,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,29,5.8,1784467800,completion_astar,finish_first,r06,r06,True,center,member,local,1,1,1.19035,0.00643,0.00408,0.3116,-0.00012,820,820,-10,223,0,0,0100,---,False,0.3116,0.00127,0.3116,-0.00012,1.65431,0.00831,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.55037,4.27128,0,0,0,2.23274,0.11631,10.44965,1.68502,0.05564,10.3151,1.6859,1.685,0.10664,8,0.0533,0,0,27.17859,10.12527,0.3116,0.2905,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r01,r01,True,lower,member,local,2,1,1.56161,-0.15561,0.09064,0.3116,-0.0,820,820,-13,185,0,0,0000,---,False,0.31032,0.02821,0.3116,-0.0,2.02169,-0.1138,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.74863,4.66663,0,0,0,1.85287,0.11631,10.25957,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r02,r02,True,lower,member,local,2,1,1.93867,-0.13748,0.09933,0.3116,0.0,820,820,-15,148,0,0,0001,---,False,0.31006,0.0309,0.3116,0.0,2.39839,-0.09167,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.76732,4.75172,0,2,0,1.47654,0.05261,10.24281,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r03,r03,True,center,member,local,2,1,2.17094,0.00909,0.00505,0.3116,0.00023,820,820,-16,126,0,0,0100,---,False,0.3116,0.00158,0.3116,0.00023,2.63271,0.01144,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.81096,4.82695,0,2,0,1.25909,0.05261,10.18907,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r04,r04,True,center,member,local,2,1,1.99096,0.31177,0.0,0.3116,0.0,820,820,-23,151,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,2.45274,0.31177,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.81096,4.82675,0,0,0,1.50614,0.13011,10.18904,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r05,r05,True,center,member,local,2,1,1.56864,0.31177,0.0,0.3116,0.0,820,820,-19,191,0,0,0000,---,False,0.3116,0.0,0.3116,0.0,2.03061,0.31177,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.74864,4.6615,0,0,0,1.91117,0.11792,10.25136,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,30,6.0,1784468000,completion_astar,finish_first,r06,r06,True,center,member,local,1,1,1.25267,0.00668,0.00408,0.3116,1e-05,820,820,-10,217,0,0,0100,---,False,0.3116,0.00127,0.3116,1e-05,1.71524,0.00857,cached_path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.61269,4.43653,0,0,0,2.17069,0.11631,10.38733,1.74725,0.0577,10.2529,1.7482,1.7472,0.10851,8,0.0526,0,0,28.17007,10.49919,0.3116,0.2912,2,False,running
b326998ea4,formation_6_dynamic_popup,31,6.2,1784468200,completion_astar,finish_first,r01,r01,True,lower,member,local,2,2,1.62368,-0.14997,0.09064,0.3116,-0.0,820,820,-13,179,0,0,0001,---,False,0.31032,0.02821,0.3116,-0.0,2.08375,-0.10815,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.81095,4.83187,0,0,0,1.79096,0.11631,10.19761,1.80935,0.06118,10.1908,1.8104,1.8093,0.10986,7,0.0512,0,0,29.1671,10.87255,0.3111,0.2918,2,False,running
b326998ea4,formation_6_dynamic_popup,31,6.2,1784468200,completion_astar,finish_first,r02,r02,True,lower,member,local,2,2,2.00069,-0.1313,0.09933,0.3116,0.0,820,820,-16,141,0,0,0001,---,False,0.31006,0.0309,0.3116,0.0,2.46039,-0.08549,path_to_final_target,w,"$1,0,0,0,0,0,0,0,0#",16000,16000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.82964,4.91697,0,3,0,1.41484,0.05121,10.18091,1.80935,0.06118,10.1908,1.8104,1.8093,0.10986,7,0.0512,0,0,29.1671,10.87255,0.3111,0.2918,2,False,running
b326998ea4,formation_6_dynamic_popup,31,6.2,1784468200,completion_astar,finish_first,r03,r03,True,center,member,local,2,2,2.23285,0.0128,0.05992,0.31011,0.27437,758,874,-20,120,0,0,0100,---,False,0.30995,0.03205,0.31011,0.27437,2.69011,0.06277,path_to_final_target,a,"$3,0,0,0,0,0,0,0,0#",15000,17000,Set tank.c app_speed/duty level to the logged pwm before sending the move key/protocol command; e=stop.,1.87298,4.99425,0,3,0,1.19854,0.05121,10.12716,1.80935,0.06118,10.1908,1.8104,1.8093,0.10986,7,0.0512,0,0,29.1671,10.87255,0.3111,0.2918,2,False,running
